Datetime,Hotel Name,Address,Overall Rating,Rating Count,Review,Speciallity,Amenity,Price,Original Price,Discount Percentage
2020-09-26 17:53:22.841025,OYO 74535 Hotel Luxury Inn,"Ranjangaon Ganpati MIDC, Pune",3.4,17 Ratings,Fair,No, Parking Facility  Toiletries available  Reception  + 14 more,849,1415,40% off
2020-09-26 17:53:22.854019,OYO 46740 Paradise Inn,"Paud Road, Pune",4.1,36 Ratings,Very Good,WIZARD MEMBER, Reception  Intercom  Power backup  + 13 more,1216,2026,39% off
2020-09-26 17:53:22.865012,Capital O 44215 Hotel Majestic Executive,"Near Maiee Mangeshkar Hospital, Viola Society, Pune",4.1,23 Ratings,Very Good,WIZARD MEMBER, Center Table  Private Entrance  Parking Facility  + 18 more,1546,2577,40% off
2020-09-26 17:53:22.873007,OYO 71534 Hotel UK Executive,"Hanumanvadi, Pune",3.6,9 Ratings,Good,No, Parking Facility  Reception  Fan  + 9 more,905,1508,39% off
2020-09-26 17:53:22.887999,OYO 18340 Grand Pune,"Near Swargate Bus Stand, Pune",4.1,31 Ratings,Very Good,WIZARD MEMBER, Elevator  Free Wifi  Geyser  + 8 more,1669,2781,39% off
2020-09-26 17:53:22.901991,OYO 9533 Hotel Milind Villa,"Near Chandni Chowk, Aparajita Housing Society, Pune",4.2,88 Ratings,Very Good,WIZARD MEMBER, Parking Facility  Free Wifi  Geyser  + 9 more,1614,2690,40% off
2020-09-26 17:53:22.922979,OYO 39998 New Pune Residency,"Near Aishwaryam Courtyard, Pune",4.2,59 Ratings,Very Good,WIZARD MEMBER, Parking Facility  Reception  Free Wifi  + 18 more,1276,2127,40% off
2020-09-26 17:53:22.934973,OYO 67260 Hotel Dream Sky,"Opp. Zensar IT Park, Behind Chaitanya Paratha, Kharadi",4.8,6 Ratings,Excellent,WIZARD MEMBER, Private Entrance  Parking Facility  Reception  + 11 more,1216,2026,39% off
2020-09-26 17:53:22.949964,OYO 8717 Everest Inn Hotel,"Pune Solapur Road, Pune",4.3,22 Ratings,Very Good,No, Elevator  Free Wifi  CCTV Cameras  + 7 more,1728,2880,40% off
2020-09-26 17:53:22.964956,OYO 74900 R K Hotel,"Near Gurudwara Chowk, Walekerwadi Main Road, Pune",4.3,180 Ratings,Very Good,No, Parking Facility  Reception  Free Wifi  + 14 more,976,1627,40% off
2020-09-26 17:53:22.974949,OYO 29437 Ramesh Inn,"Chakan Chowk, Alandi, Pune",4.6,15 Ratings,Excellent,WIZARD MEMBER, Parking Facility  Reception  Free Wifi  + 15 more,1216,2026,39% off
2020-09-26 17:53:22.987942,SPOT ON 68908 Hotel Swaraj,"Tamhini Ghat Rd, Pune",New,New,New,No, TV  Private Entrance  Parking Facility  + 11 more,793,1322,40% off
2020-09-26 17:53:23.003933,OYO Home 47208 Classy Studios Kharadi,"Near Zensar IT Park, Kharadi, Pune",4.4,163 Ratings,Very Good,No, Reception  Free Wifi  Hot Water  + 17 more,1290,2150,40% off
2020-09-26 17:53:23.027919,OYO Home 45371 Enticing Stay Balewadi,"Near Newar K Square, Balewadi, Pune",4.1,164 Ratings,Very Good,No, Parking Facility  Reception  Free Wifi  + 8 more,1290,2150,40% off
2020-09-26 17:53:23.046908,OYO 75503 24 Baner,"lane between chicken vicken and jay malhar mutton shop, Pune",4.3,31 Ratings,Very Good,No, Parking Facility  Reception  Free Wifi  + 10 more,1294,2157,40% off
2020-09-26 17:53:23.062899,OYO 45583 Hotel Galaxy,"Near Koregaon Park, Lane Number 7, Pune",3.6,92 Ratings,Good,WIZARD MEMBER, Reception  Free Wifi  Intercom  + 11 more,1216,2026,39% off
2020-09-26 17:53:23.080889,Capital O 47856 Om Inn,"Near ABC India Limited, NH 48, Pune",4.2,39 Ratings,Very Good,No, Center Table  Private Entrance  Reception  + 22 more,1376,2293,39% off
2020-09-26 17:53:23.094881,OYO 67880 Sai Executive ,"Near .AtulNagar, Warje, Motiram Nagar, Pune",New,New,New,WIZARD MEMBER, Private Entrance  Parking Facility  Reception  + 9 more,1014,1690,40% off
2020-09-26 17:53:23.107873,OYO 11693 Hotel Sunshine,"Near New White House, Koregaon Park,Pune",4.4,205 Ratings,Very Good,WIZARD MEMBER, Parking Facility  Free Wifi  Geyser  + 8 more,2002,3337,40% off
2020-09-26 17:53:23.127862,OYO Home 36257 Elegant Stay Hinjewadi,"Rajiv Gandhi Infotech Park, Hinjewadi, Pune",4.2,166 Ratings,Very Good,No, Parking Facility  Free Wifi  Hot Water  + 20 more,1290,2150,40% off
